"caseid" "year" "age" "sex" "race" "hispanic" "uscitzn" "educ" "paeduc" "maeduc" "speduc" "degree" "vetyears" "sei" "wrkstat" "wrkslf" "marital" "spwrksta" "sibs" "childs" "agekdbrn" "incom16" "born" "parborn" "granborn" "income06" "coninc" "region" "partyid" "polviews" "relig" "attend" "natspac" "natenvir" "natheal" "natcity" "natcrime" "natdrug" "nateduc" "natrace" "natarms" "nataid" "natfare" "natroad" "natsoc" "natmass" "natpark" "confinan" "conbus" "conclerg" "coneduc" "confed" "conlabor" "conpress" "conmedic" "contv" "conjudge" "consci" "conlegis" "conarmy" "joblose" "jobfind" "satjob" "richwork" "jobinc" "jobsec" "jobhour" "jobpromo" "jobmeans" "class" "rank" "satfin" "finalter" "finrela" "unemp" "govaid" "getaid" "union" "getahead" "parsol" "kidssol" "abdefect" "abnomore" "abhlth" "abpoor" "abrape" "absingle" "abany" "pillok" "sexeduc" "divlaw" "premarsx" "teensex" "xmarsex" "homosex" "suicide1" "suicide2" "suicide3" "suicide4" "fear" "owngun" "pistol" "shotgun" "rifle" "news" "tvhours" "racdif1" "racdif2" "racdif3" "racdif4" "helppoor" "helpnot" "helpsick" "helpblk"
"1" 1 1972 23 "Female" "White" NA NA 16 10 NA NA "Bachelor" NA NA "Working Fulltime" "Someone Else" "Never Married" NA 3 0 NA "Average" NA NA NA NA 25926 "E. Nor. Central" "Ind,Near Dem" NA "Jewish" "Once A Year" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "A Little Dissat" NA NA NA NA NA NA "Middle Class" NA "Not At All Sat" "Better" "Average" NA NA NA NA NA NA NA "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" NA NA NA NA "Not Wrong At All" NA NA NA NA NA NA NA NA NA NA NA NA "Everyday" NA NA NA NA NA NA NA NA NA
"2" 2 1972 70 "Male" "White" NA NA 10 8 8 12 "Lt High School" NA NA "Retired" "Someone Else" "Married" "Keeping House" 4 5 NA "Above Average" NA NA NA NA 33333 "E. Nor. Central" "Not Str Democrat" NA "Catholic" "Every Week" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Middle Class" NA "More Or Less" "Stayed Same" "Above Average" NA NA NA NA NA NA NA "Yes" "No" "Yes" "No" "Yes" "Yes" NA NA NA NA "Always Wrong" NA NA NA NA NA NA NA NA NA NA NA NA "Everyday" NA NA NA NA NA NA NA NA NA
"3" 3 1972 48 "Female" "White" NA NA 12 8 8 11 "High School" NA NA "Working Parttime" "Someone Else" "Married" "Working Fulltime" 5 4 NA "Average" NA NA NA NA 33333 "E. Nor. Central" "Independent" NA "Protestant" "Once A Month" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Mod. Satisfied" NA NA NA NA NA NA "Working Class" NA "Satisfied" "Better" "Average" NA NA NA NA NA NA NA "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" NA NA NA NA "Always Wrong" NA NA NA NA NA NA NA NA NA NA NA NA "Everyday" NA NA NA NA NA NA NA NA NA
"4" 4 1972 27 "Female" "White" NA NA 17 16 12 20 "Bachelor" NA NA "Working Fulltime" "Someone Else" "Married" "Working Fulltime" 5 0 NA "Average" NA NA NA NA 41667 "E. Nor. Central" "Not Str Democrat" NA "Other" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Very Satisfied" NA NA NA NA NA NA "Middle Class" NA "Not At All Sat" "Stayed Same" "Average" NA NA NA NA NA NA NA "No" "No" "Yes" "Yes" "Yes" "Yes" NA NA NA NA "Always Wrong" NA NA NA NA NA NA NA NA NA NA NA NA "Once A Week" NA NA NA NA NA NA NA NA NA
"5" 5 1972 61 "Female" "White" NA NA 12 8 8 12 "High School" NA NA "Keeping House" "Someone Else" "Married" "Temp Not Working" 2 2 NA "Below Average" NA NA NA NA 69444 "E. Nor. Central" "Strong Democrat" NA "Protestant" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Working Class" NA "Satisfied" "Better" "Above Average" NA NA NA NA NA NA NA "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" NA NA NA NA "Sometimes Wrong" NA NA NA NA NA NA NA NA NA NA NA NA "Everyday" NA NA NA NA NA NA NA NA NA
"6" 6 1972 26 "Male" "White" NA NA 14 18 19 NA "High School" NA NA "Working Fulltime" "Someone Else" "Never Married" NA 1 0 NA "Average" NA NA NA NA 60185 "E. Nor. Central" "Ind,Near Dem" NA "Protestant" "Once A Year" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Mod. Satisfied" NA NA NA NA NA NA "Middle Class" NA "More Or Less" "Better" "Above Average" NA NA NA NA NA NA NA "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" NA NA NA NA "Sometimes Wrong" NA NA NA NA NA NA NA NA NA NA NA NA "Everyday" NA NA NA NA NA NA NA NA NA
"7" 7 1972 28 "Male" "White" NA NA 13 16 12 NA "High School" NA NA "Working Fulltime" "Someone Else" "Divorced" NA 7 2 NA "Above Average" NA NA NA NA 50926 "E. Nor. Central" "Ind,Near Dem" NA "Catholic" "Every Week" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Very Satisfied" NA NA NA NA NA NA "Middle Class" NA "More Or Less" "Better" "Above Average" NA NA NA NA NA NA NA "Yes" "No" "Yes" "No" "Yes" "Yes" NA NA NA NA "Not Wrong At All" NA NA NA NA NA NA NA NA NA NA NA NA "Everyday" NA NA NA NA NA NA NA NA NA
"8" 8 1972 27 "Male" "White" NA NA 16 16 14 NA "Bachelor" NA NA "Working Fulltime" "Someone Else" "Never Married" NA 1 0 NA "Average" NA NA NA NA 18519 "E. Nor. Central" "Ind,Near Dem" NA "Jewish" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "A Little Dissat" NA NA NA NA NA NA "Working Class" NA "Not At All Sat" "Better" "Average" NA NA NA NA NA NA NA "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" NA NA NA NA "Sometimes Wrong" NA NA NA NA NA NA NA NA NA NA NA NA "Everyday" NA NA NA NA NA NA NA NA NA
"9" 9 1972 21 "Female" "Black" NA NA 12 12 12 NA "High School" NA NA "Working Parttime" "Someone Else" "Never Married" NA 2 2 NA "Average" NA NA NA NA 3704 "W. Sou. Central" "Strong Democrat" NA "Protestant" "Sevrl Times A Yr" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Mod. Satisfied" NA NA NA NA NA NA "Working Class" NA "More Or Less" "Worse" "Average" NA NA NA NA NA NA NA "Yes" "No" "Yes" "No" NA "No" NA NA NA NA "Not Wrong At All" NA NA NA NA NA NA NA NA NA NA NA NA "Less Than Once Wk" NA NA NA NA NA NA NA NA NA
"10" 10 1972 30 "Female" "Black" NA NA 12 10 7 11 "High School" NA NA "Working Fulltime" "Someone Else" "Married" "Working Fulltime" 7 4 NA "Far Below Average" NA NA NA NA 25926 "W. Sou. Central" "Strong Democrat" NA "Protestant" "More Thn Once Wk" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Mod. Satisfied" NA NA NA NA NA NA "Working Class" NA "Not At All Sat" "Stayed Same" "Below Average" NA NA NA NA NA NA NA "Yes" "No" "Yes" "Yes" "Yes" "No" NA NA NA NA "Always Wrong" NA NA NA NA NA NA NA NA NA NA NA NA "Everyday" NA NA NA NA NA NA NA NA NA
